CustomerID,CreditRating,GenderType,CustomerAge,ContractDuration,AccountBalance,ProductsOwned,CreditCardHolder,ActiveStatus,SalaryEstimate,ExitedStatus
23452229,619,Female,42,2,0,1,1,1,101348.88,1
23471292,608,Female,41,1,83807.86,1,0,1,112542.58,0
23429281,502,Female,42,8,159660.8,3,1,0,113931.57,1
23552356,699,Female,39,1,0,2,0,0,93826.63,0
23607157,850,Female,43,2,125510.82,1,,1,79084.1,0
23361343,645,Male,44,8,113755.78,2,1,0,149756.71,1
23389122,822,Male,50,7,0,2,1,1,10062.8,0
23484547,376,Female,29,4,115046.74,4,1,0,119346.88,1
23688873,501,Male,44,4,142051.07,2,0,,74940.5,0
23388909,684,Male,,2,134603.88,1,1,1,71725.73,0
23652057,528,Male,31,6,102016.72,2,0,0,80181.12,0
23606085,497,Male,24,3,0,2,1,0,76390.01,0
23448721,476,Female,34,10,0,2,1,0,26260.98,0
23537550,549,Female,25,5,0,2,0,0,190857.79,0
23401648,635,Female,35,7,0,2,1,1,65951.65,0
23466274,616,Male,45,3,143129.41,2,0,1,64327.26,0
23606503,653,Male,58,1,132602.88,1,1,0,5097.67,1
23682652,549,Female,24,9,0,2,1,1,14406.41,0
23492586,587,Male,45.25,6,0,1,0,0,158684.81,0
23353798,726,Female,24,6,0,2,1,1,54724.03,0
23366811,732,Male,41,8,0,2,1,1,170886.17,0
23397243,636,Female,32.34,8,0,2,1,0,138555.46,0
23549289,510,Female,38,4,0,1,1,0,118913.53,1
23588931,669,Male,46,3,0,2,0,1,8487.75,0
23437896,846,Female,38,5,0,1,1,1,187616.16,0
23607612,577,Male,25,3,0,2,0,1,124508.29,0
23605549,756,Male,36.44,2,136815.64,1,1,1,170041.95,0
23551483,571,Male,44,9,0,2,0,0,38433.35,0
23593365,574,Female,43,3,141349.43,1,1,1,100187.43,0
23484775,411,Male,29,0,59697.17,2,1,1,53483.21,0
23384538,591,Female,39,3,0,3,1,0,140469.38,1
23560153,533,Male,36,7,85311.7,1,0,1,156731.91,0
23625597,553,Male,41,9,110112.54,2,0,0,81898.81,0
23489467,520,Female,42,6,0,2,1,1,34410.55,0
23599770,722,Female,29,9,0,2,1,1,142033.07,0
23691582,475,Female,45,0,134264.04,1,1,0,27822.99,1
23682997,490,Male,31,3,145260.23,1,0,1,114066.77,0
23594724,804,Male,33,7,76548.6,1,0,1,98453.45,0
23576464,850,Male,36,7,0,1,1,1,40812.9,0
23378977,582,Male,41,6,70349.48,2,0,1,178074.04,0
23429365,472,Male,40,4,0,1,1,0,70154.22,0
23607547,465,Female,51,8,122522.32,1,0,0,181297.65,1
23532244,556,Female,61,2,117419.35,1,1,1,94153.83,0
23633119,834,Female,49,2,131394.56,1,0,0,194365.76,1
23526582,660,Female,61,5,155931.11,1,1,1,158338.39,0
23632599,776,Female,32,4,109421.13,2,1,1,126517.46,0
23403745,829,Female,27,9,112045.67,1,1,1,119708.21,1
23657685,637,Female,39,9,137843.8,1,1,1,117622.8,1
23649633,550,Male,38,2,103391.38,1,0,1,90878.13,0
23658135,776,Female,37,2,103769.22,2,1,0,194099.12,0
23425150,698,Male,44,10,116363.37,2,1,0,198059.16,0
23652615,585,Male,36,5,146050.97,2,0,0,86424.57,0
23525655,788,Female,33,5,0,2,0,0,116978.19,0
23553772,655,Male,41,8,125561.97,1,0,0,164040.94,1
23354710,601,Male,42,1,98495.72,1,1,0,40014.76,1
23641617,619,Male,43,1,125211.92,1,1,1,113410.49,0
23445405,656,Male,45,5,127864.4,1,1,0,87107.57,0
23470962,725,Male,19,0,75888.2,1,0,0,45613.75,0
23436241,511,Female,66,4,0,1,1,0,1643.11,1
23707482,614,Male,51,4,40685.92,1,1,1,46775.28,0
23477245,742,Male,35,5,136857,1,0,0,84509.57,0
23660529,687,Female,27,9,152328.88,2,0,0,126494.82,0
23553346,555,Male,33,1,56084.69,2,0,0,178798.13,0
23627137,684,Male,56,8,78707.16,1,1,1,99398.36,0
23389017,603,Male,26,4,109166.37,1,1,1,92840.67,0
23684551,751,Female,36,6,169831.46,2,1,1,27758.36,0
23544417,581,Female,34,1,101633.04,1,1,0,110431.51,0
23462698,735,Male,43,10,123180.01,2,1,1,196673.28,0
23457961,661,Female,35,5,150725.53,2,0,1,113656.85,0
23633797,675,Female,21,8,98373.26,1,1,0,18203,0
23556015,738,Male,58,2,133745.44,4,1,0,28373.86,1
23430841,813,Male,29,6,0,1,1,0,33953.87,0
23719102,657,Female,37,0,163607.18,1,0,1,44203.55,0
23668903,604,Female,25,5,157780.84,2,1,1,58426.81,0
23656542,519,Male,36,9,0,2,0,1,145562.4,0
23671767,735,Female,21,1,178718.19,2,1,0,22388,0
23421399,664,Male,55,8,0,2,1,1,139161.64,0
23493453,678,Female,32,9,0,1,1,1,148210.64,0
23363103,757,Male,33,5,77253.22,1,0,1,194239.63,0
23705029,416,Female,41,10,122189.66,2,1,0,98301.61,0
23559357,665,Female,34,1,96645.54,2,0,0,171413.66,0
23495884,777,Female,32,2,0,1,1,0,136458.19,1
23462923,543,Female,36,3,0,2,0,0,26019.59,0
23552071,506,Female,34,4,90307.62,1,1,1,159235.29,0
23608452,493,Female,46,4,0,2,1,0,1907.66,0
23708206,652,Female,75,10,0,2,1,1,114675.75,0
23643952,750,Male,22,3,121681.82,1,1,0,128643.35,1
23438964,729,Male,30,9,0,2,1,0,151869.35,0
23434671,646,Female,46,4,0,3,1,0,93251.42,1
23652256,635,Female,28,3,81623.67,2,1,1,156791.36,0
23636628,647,Female,44,5,0,3,1,1,174205.22,1
23597592,808,Male,45,7,118626.55,2,1,0,147132.46,0
23714197,524,Female,36,10,0,2,1,0,109614.57,0
23461278,769,Male,29,8,0,2,1,1,172290.61,0
23515774,730,Male,42,4,0,2,0,1,85982.47,0
23549517,515,Male,35,10,176273.95,1,0,1,121277.78,0
23608407,773,Male,41,9,102827.44,1,0,1,64595.25,0
23540850,814,Male,29,8,97086.4,2,1,1,197276.13,0
23406847,710,Male,22,8,0,2,0,0,99645.04,0
23449914,413,Male,34,9,0,2,0,0,6534.18,0
23713198,665,Female,40,6,0,1,1,1,161848.03,0
23615113,623,Female,44,6,0,2,0,0,167162.43,0
23370544,738,Male,31,9,82674.15,1,1,0,41970.72,0
23665233,528,Male,36,7,0,2,1,0,60536.56,0
23707704,670,Female,65,1,0,1,1,1,177655.68,1
23421106,622,Female,46,4,107073.27,2,1,1,30984.59,1
23399118,582,Male,32,1,88938.62,1,1,1,10054.53,0
23719642,785,Female,36,2,99806.85,1,0,1,36976.52,0
23403793,605,Male,33,5,150092.8,1,0,0,71862.79,0
23617359,479,Male,35,9,92833.89,1,1,0,99449.86,1
23705614,685,Male,30,3,90536.81,1,0,1,63082.88,0
