Date,Temperature
01-01-2010,27.483570765056164
02-01-2010,24.308678494144075
03-01-2010,28.23844269050346
04-01-2010,32.61514928204013
05-01-2010,23.829233126383322
06-01-2010,23.82931522
07-01-2010,32.896064077536955
08-01-2010,28.837173645764544
09-01-2010,22.65262807032524
10-01-2010,27.712800217929825
11-01-2010,22.682911535937688
12-01-2010,22.671351232148716
13-01-2010,26.20981135783017
14-01-2010,15.43359877671101
15-01-2010,16.375410837434835
16-01-2010,22.188562353795135
17-01-2010,19.93584439832788
18-01-2010,26.571236662976368
19-01-2010,20.459879622393945
20-01-2010,17.938481493323543
21-01-2010,32.32824384460777
22-01-2010,23.871118497567323
23-01-2010,25.33764102343962
24-01-2010,17.87625906893272
25-01-2010,22.278086377374088
26-01-2010,25.55461294854933
27-01-2010,19.245032112888488
28-01-2010,26.87849009172836
29-01-2010,21.996806550405974
30-01-2010,23.541531251033618
31-01-2010,21.991466938853016
01-02-2010,34.26139092254469
02-02-2010,24.93251387631033
03-02-2010,19.711445355220498
04-02-2010,29.112724560515943
05-02-2010,18.895781750144888
06-02-2010,26.044317975023777
07-02-2010,15.201649380601122
08-02-2010,18.359069755507846
09-02-2010,25.984306179345616
10-02-2010,28.692332899977053
11-02-2010,25.85684140594985
12-02-2010,24.421758588058797
13-02-2010,23.494481522053555
14-02-2010,17.607390048162863
15-02-2010,21.400778958026457
16-02-2010,22.696806145201062
17-02-2010,30.285611131094576
18-02-2010,26.71809144784231
19-02-2010,16.18479922318633
20-02-2010,26.620419846973974
21-02-2010,23.074588597918417
22-02-2010,21.615389998470206
23-02-2010,28.05838144420434
24-02-2010,30.154997612479754
25-02-2010,29.656400595580994
26-02-2010,20.803912383886807
27-02-2010,23.453938120743928
28-02-2010,26.65631715701782
01-03-2010,29.877725635611796
02-03-2010,22.60412881077355
03-03-2010,24.071705116680914
04-03-2010,19.46832512996986
05-03-2010,19.018966879596647
06-03-2010,29.062629111970992
07-03-2010,31.781200142854114
08-03-2010,24.63994939209833
09-03-2010,30.01766448946012
10-03-2010,26.80818012523817
11-03-2010,21.77440122697438
12-03-2010,26.80697802754207
13-03-2010,32.690182832329846
14-03-2010,24.820869804450243
15-03-2010,32.82321827907003
16-03-2010,11.901274479551278
17-03-2010,29.10951252187612
18-03-2010,25.435235341190857
19-03-2010,23.504963247670663
20-03-2010,25.45880388267751
21-03-2010,15.062155426995536
22-03-2010,23.90164056081244
23-03-2010,26.78556285755873
24-03-2010,32.38947022370758
25-03-2010,22.40864890863176
26-03-2010,20.95753198553406
27-03-2010,22.491214782077318
28-03-2010,29.57701058851037
29-03-2010,26.643755548298422
30-03-2010,22.351198981164806
31-03-2010,27.56633716556678
01-04-2010,25.48538775
02-04-2010,29.843224952664446
03-04-2010,21.489734530613237
04-04-2010,23.361689267011158
05-04-2010,23.039459234339212
06-04-2010,17.682425259339407
07-04-2010,26.48060138532288
08-04-2010,26.305276360899448
09-04-2010,25.025567283212304
10-04-2010,23.827064333124266
11-04-2010,17.92314628974793
12-04-2010,22.896773386173205
13-04-2010,23.286427417366152
14-04-2010,20.988613653891903
15-04-2010,24.193571441669953
